id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,number_of_reviews_ltm
373267,Rental unit in Floriana · ★4.56 · 1 bedroom · 1 bed · 1 bath,1351146,Ian & Anna,Floriana,35.89093017578125,14.505778312683104,Entire home/apt,81,2,239,4,304,24
404210,Townhouse in Xewkija · ★4.55 · 3 bedrooms · 5 beds · 2 baths,2015683,Martin,Xewkija,36.030483,14.257623,Entire home/apt,130,3,34,2,302,0
417612,Rental unit in Birgu · ★4.72 · 1 bedroom · 1 bed · 1 bath,1351697,Valletta Vintage,Birgu,35.88824,14.52343,Entire home/apt,100,2,223,10,100,8
424572,Rental unit in Il-Gżira · ★4.83 · 1 bedroom · 3 beds · 1 bath,1188556,Catherine,Gzira,35.90487,14.48972,Private room,36,3,8,2,139,0
432260,Rental unit in St Paul's Bay · ★4.46 · 1 bedroom · 1 bed · 1 bath,2149566,Lorenzo,San Pawl il-Bahar,35.94457,14.38613,Entire home/apt,100,3,184,1,324,17
452721,Condo in San Gwann · ★4.38 · 2 bedrooms · 4 beds · 1 bath,2229391,Mariella,Swieqi,35.91736,14.48263,Entire home/apt,75,5,16,3,278,11
476282,Rental unit in Il-Mellieħa · ★4.73 · 2 bedrooms · 5 beds · 2 baths,2246771,Bill,Mellieha,35.96631,14.3567,Entire home/apt,129,4,59,4,75,2
492394,Rental unit in Il-Mellieħa · ★4.17 · 2 bedrooms · 3 beds · 1.5 baths,1247259,Yvette,Mellieha,35.9567,14.36276,Entire home/apt,90,5,6,2,364,3
501516,Rental unit in Tas-Sliema · ★4.61 · 2 bedrooms · 1 bath,2474524,Simon,Sliema,35.91125,14.49672,Entire home/apt,97,3,74,12,320,16
503123,Rental unit in Tas-Sliema · ★4.68 · 1 bedroom · 1 bed · 1 bath,2474524,Simon,Sliema,35.91244,14.49556,Entire home/apt,111,3,69,12,354,9
503298,Rental unit in Marsascala · ★4.64 · 2 bedrooms · 4 beds · 1 bath,2482611,Vacation,Marsascala,35.85684,14.56619,Entire home/apt,61,7,14,4,254,4
503644,Rental unit in Il-Qala · ★4.80 · 3 bedrooms · 8 beds · 2 baths,2484075,Konrad,Qala,36.0413,14.30957,Entire home/apt,140,4,5,1,364,1
503703,Rental unit in Tas-Sliema · ★4.63 · 2 bedrooms · 4 beds · 1 bath,2474524,Simon,San Giljan,35.91323,14.49496,Entire home/apt,114,3,75,12,5,0
504283,Rental unit in Gzira · ★4.80 · 1 bedroom · 2 beds · 2 shared baths,1483790,Mariella,Gzira,35.90581,14.49332,Private room,32,2,56,6,310,4
541080,Rental unit in Marsalforn · ★4.45 · 3 bedrooms · 3 beds · 2 baths,1207379,Öyfrid,Zebbug (Ghawdex),36.06997,14.26148,Entire home/apt,48,3,109,3,301,21
567544,Rental unit in Zebbug · ★4.64 · 2 bedrooms · 1 bed · 1 bath,2792542,Dolphin Gozo Rentals,Zebbug (Ghawdex),36.07321,14.25467,Entire home/apt,85,4,14,9,243,1
586457,Home in Ghasri · ★4.86 · 1 bedroom · 2 beds · 1 bath,2677846,Ana (Anne Marie) & Sophia,Ghasri,36.0616,14.2274,Entire home/apt,165,3,218,2,130,17
590615,Rental unit in Zebbug · ★4.53 · 2 bedrooms · 1 bed · 1 bath,2792542,Dolphin Gozo Rentals,Zebbug (Ghawdex),36.07131,14.25438,Entire home/apt,85,3,41,9,243,2
