id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,number_of_reviews_ltm
28755226,Tiny home in Victoria VCT · ★4.98 · 1 bedroom · 3 beds · 1 bath,208914427,Edwina,Rabat (Victoria),36.04314,14.238,Entire home/apt,94,2,128,2,335,24
28771449,"Rental unit in Xaghra, gozo · ★4.91 · 2 bedrooms · 3 beds · 2 baths",437141513,Euro Resort,Xaghra,36.05096,14.27615,Entire home/apt,83,3,33,10,313,4
28771451,Rental unit in Valletta · ★4.33 · 1 bedroom · 2 beds · 1.5 baths,212771466,Wayne,Valletta,35.89841,14.51379,Entire home/apt,253,1,12,5,103,0
28772413,Rental unit in Valletta · ★3.75 · 2 bedrooms · 2 beds · 1.5 baths,212771466,Wayne,Valletta,35.89854,14.51423,Entire home/apt,253,1,4,5,105,0
28773038,Rental unit in Valletta · ★4.25 · 1 bedroom · 2 beds · 1.5 baths,212771466,Wayne,Valletta,35.90018,14.51414,Entire home/apt,195,1,12,5,90,0
28773241,Rental unit in Valletta · ★4.08 · 1 bedroom · 1 bed · 1 bath,212771466,Wayne,Valletta,35.90047,14.5141,Entire home/apt,181,1,12,5,91,0
28797712,Rental unit in Il-Belt Valletta · ★4.24 · 1 bedroom · 1 bed · 1 bath,191888158,Claudine,Valletta,35.89873,14.51728,Entire home/apt,115,1,37,6,104,12
28798019,Rental unit in Il-Belt Valletta · ★4.19 · 1 bedroom · 1 bed · 1 bath,191888158,Claudine,Valletta,35.89873,14.51728,Entire home/apt,106,1,43,6,92,15
28798376,Rental unit in Il-Belt Valletta · ★3.85 · 1 bedroom · 1 bed · 1 bath,191888158,Claudine,Valletta,35.89873,14.51728,Entire home/apt,98,1,20,6,103,6
28851335,Rental unit in Il-Mellieħa · 1 bedroom · 2 beds · 1 shared bath,216100477,Edwin,Mellieha,35.95361,14.3697,Shared room,42,7,2,2,170,2
28856901,Townhouse in Valletta · ★4.96 · 1 bedroom · 2 beds · 1 bath,217574291,Jonathan,Valletta,35.90168,14.51323,Entire home/apt,100,1,113,1,280,42
28902771,Home in In-Nadur · ★4.62 · 3 bedrooms · 4 beds · 2 baths,150091559,Joseph,Nadur,36.04311,14.28673,Entire home/apt,130,3,85,1,88,14
28919854,Rental unit in Tas-Sliema · ★4.86 · 1 bedroom · 2 beds · 1 shared bath,91057546,Maria,Sliema,35.91391,14.50677,Private room,55,5,28,3,364,8
28921063,Condo in I’m malta  · ★4.67 · 1 bedroom · 2 beds · 1 private bath,91057546,Maria,Sliema,35.91412,14.50517,Private room,85,4,3,3,364,0
28931859,Rental unit in L-Għarb · ★5.0 · 2 bedrooms · 2 beds · 2 baths,218078729,Giorgia & Luca,Gharb,36.05569,14.21146,Entire home/apt,110,3,4,4,69,0
28931953,Rental unit in Tal-Pietà · ★4.82 · 2 bedrooms · 3 beds · 1 bath,179625723,Sandro,Pieta,35.894039,14.491007,Entire home/apt,105,3,112,1,324,29
28985345,Home in Qala · ★4.83 · 3 bedrooms · 5 beds · 3 baths,218468963,Norbert,Qala,36.040955,14.311796,Entire home/apt,153,4,24,1,258,6
29002759,Rental unit in L-Għarb · 2 bedrooms · 2 beds · 2 baths,218078729,Giorgia & Luca,Gharb,36.05764,14.2114,Entire home/apt,100,3,0,4,99,0
29026963,Rental unit in Il-Mellieħa · ★5.0 · 2 bedrooms · 2 beds · 1 bath,92019668,Reuben,Mellieha,35.95598,14.3668,Entire home/apt,129,4,5,3,81,0
29036185,Home in Ix-Xagħra · 3 bedrooms · 4 beds · 3 baths,4274873,Damien,Xaghra,36.05178,14.25733,Entire home/apt,270,3,1,1,104,1
29045056,Rental unit in Bormla · ★4.91 · 1 bedroom · 2 beds · 1 bath,188878826,Miriam,Bormla,35.88149,14.51887,Entire home/apt,69,3,22,3,89,2
29049849,Condo in L-Imsida · ★4.85 · 2 bedrooms · 3 beds · 2 baths,218917200,Sean,Msida,35.89399,14.4844,Entire home/apt,65,2,20,1,325,7
29116502,Guest suite in Mellieha · ★4.25 · 2 bedrooms · 1 bed · 1 shared bath,11836725,Roberto,Mellieha,35.95631,14.37248,Private room,35,2,4,7,337,0
29144268,Rental unit in Il-Belt Valletta · ★4.85 · 2 bedrooms · 2 beds · 1 bath,211258392,Kevin,Valletta,35.9,14.51422,Entire home/apt,136,3,93,1,3,27
29171017,Rental unit in Birżebbuġa · ★4.82 · 2 bedrooms · 3 beds · 1 bath,134252444,Dale,Birzebbugia,35.82275,14.52799,Entire home/apt,51,3,112,3,198,21
29210350,Rental unit in Pembroke · ★4.81 · 2 bedrooms · 1 bed · 1 shared bath,122439782,Paola,Pembroke,35.92735,14.4841,Private room,35,1,26,1,337,7
29210525,Rental unit in Marsalforn  · ★4.63 · 1 bedroom · 1 bed · 1 bath,66589848,Joseph,Zebbug (Ghawdex),36.06945,14.25902,Entire home/apt,64,2,30,3,38,10
29242761,Rental unit in Mellieha · ★4.95 · 2 bedrooms · 3 beds · 1 bath,25489274,Mark Anthony,Mellieha,35.96733,14.36162,Entire home/apt,110,3,41,2,219,13
29353791,Home in San Gwann · ★4.90 · 2 bedrooms · 2 beds · 1 bath,221134979,Paul,San Gwann,35.90516,14.47815,Entire home/apt,47,1,133,1,283,23
29387013,Home in Tas-Sliema · ★4.95 · 4 bedrooms · 6 beds · 4 baths,12634976,Malcolm,Sliema,35.91101,14.49969,Entire home/apt,250,3,55,17,299,17
29388800,Rental unit in Iż-Żejtun · ★5.0 · 3 bedrooms · 5 beds · 4 baths,217804068,Doreen,Zejtun,35.85081,14.53448,Entire home/apt,100,4,4,3,352,0
29396044,Rental unit in Malta · 1 bedroom · 1 bed · 1 shared bath,195195732,Tania,Mgarr,35.937496,14.375416,Private room,52,1,0,1,365,0
29417426,Rental unit in San pawl il bahar  · ★4.90 · 1 bedroom · 1 private bath,221596664,Gabriella Y Vic,San Pawl il-Bahar,35.94804,14.41986,Private room,18,1,21,1,106,0
29455545,Rental unit in Il-Mellieħa · ★4.71 · 2 bedrooms · 4 beds · 1 bath,83347665,Anton,Mellieha,35.96489,14.36139,Entire home/apt,54,2,24,1,321,0
29472897,Rental unit in Iż-Żebbuġ · ★4.64 · 1 bedroom · 2 beds · 1 bath,744947,Manuela,Zebbug (Ghawdex),36.06727,14.25903,Entire home/apt,38,3,78,3,52,24
29510898,Home in Qala · 3 bedrooms · 4 beds · 3 baths,157743467,Martin,Qala,36.04087,14.31127,Entire home/apt,230,4,2,9,339,1
29531628,Townhouse in L-Isla · ★4.71 · 2 bedrooms · 4 beds · 1.5 baths,30981142,Gregory,Bormla,35.88765,14.51454,Entire home/apt,85,60,66,1,292,2
29588970,Rental unit in Il-Mellieħa · 2 bedrooms · 3 beds · 1.5 baths,92019668,Reuben,Mellieha,35.95598,14.3668,Entire home/apt,134,5,1,3,96,0
29603701,Rental unit in Marsaxlokk · ★4.83 · 4 bedrooms · 6 beds · 3 baths,27267202,Jacqueline,Marsaxlokk,35.84115,14.5482,Entire home/apt,185,4,18,5,255,8
29638362,Rental unit in Il-Mellieħa · ★5.0 · 2 bedrooms · 3 beds · 1 bath,92019668,Reuben,Mellieha,35.95598,14.3668,Entire home/apt,168,4,13,3,82,0
29646379,Rental unit in Sliema · ★4.79 · 2 bedrooms · 5 beds · 2 baths,2442805,Aaron,Sliema,35.90985,14.50839,Entire home/apt,171,1,14,119,79,2
29654099,Rental unit in Wied il-Għajn · ★4.94 · 3 bedrooms · 5 beds · 2 baths,223199094,James,Marsascala,35.8581,14.56884,Entire home/apt,50,3,55,1,250,12
29691887,Rental unit in Sliema · ★4.67 · 1 bedroom · 1 bed · 1 private bath,223450640,Ruth,Sliema,35.91119,14.49857,Private room,40,2,39,1,233,10
29732934,Condo in San Ġiljan · ★4.97 · 1 bedroom · 1 bed · 1 private bath,223683741,George,San Gwann,35.9123,14.48171,Private room,78,2,117,1,336,34
29824552,Home in L-Għarb · ★4.63 · 4 bedrooms · 9 beds · 5 baths,160314413,James,Gharb,36.06353,14.20648,Entire home/apt,262,2,36,9,267,6
29843863,Rental unit in Saint Julian's · ★4.76 · 2 bedrooms · 2 beds · 2.5 baths,157640139,Claire,San Giljan,35.91907,14.48653,Entire home/apt,95,3,46,5,338,9
29845523,Rental unit in Sliema · ★4.50 · 3 bedrooms · 6 beds · 2.5 baths,2442805,Aaron,Sliema,35.90889,14.50932,Entire home/apt,262,1,12,119,20,2
29867064,Condo in Il-Mellieħa · ★4.74 · 2 bedrooms · 2 beds · 1 bath,224609168,Nico,Mellieha,35.96503,14.36229,Entire home/apt,136,3,50,1,244,11
29889480,Home in Malta · ★4.83 · 3 bedrooms · 6 beds · 4 baths,180552609,Natasha,Munxar,36.03247,14.23254,Entire home/apt,263,3,6,14,338,1
29890073,Rental unit in Sliema · ★4.57 · 3 bedrooms · 6 beds · 2.5 baths,2442805,Aaron,Sliema,35.90848,14.50972,Entire home/apt,262,1,14,119,71,3
29912488,Townhouse in Malta · ★5.0 · 4 bedrooms · 7 beds · 5 baths,180552609,Natasha,Munxar,36.03292,14.23185,Entire home/apt,330,3,5,14,336,0
29914000,Townhouse in Sliema · ★3.79 · 1 bedroom · 1 bed · 1 shared bath,21486922,Stephen,Sliema,35.91521,14.49933,Shared room,18,2,24,4,355,6
29933145,Condo in San Ġiljan · ★4.15 · 2 bedrooms · 1 bed · 1 shared bath,8774638,Karl,San Giljan,35.91223,14.48966,Private room,33,2,26,2,79,22
29937710,Loft in Cospicua · ★5.0 · 1 bedroom · 1 bed · 1 bath,49575437,John,Bormla,35.88114,14.52031,Entire home/apt,68,3,6,3,100,6
29938067,Rental unit in Marsaskala · ★4.97 · 1 bedroom · 6 beds · 1 bath,207725471,Elaine,Marsascala,35.86367,14.55987,Entire home/apt,70,2,38,3,163,9
29941924,Villa in Ix-Xagħra · ★4.62 · 6 bedrooms · 9 beds · 5 baths,225116478,Genevieve,Xaghra,36.05386,14.27431,Entire home/apt,581,7,14,1,269,2
29969907,Home in Il-Mellieħa · ★5.0 · 3 bedrooms · 3 beds · 1.5 baths,119458152,Joe,Mellieha,35.96209,14.36861,Entire home/apt,130,4,8,2,63,1
29972737,Rental unit in San Pawl il-Baħar · ★4.67 · 2 bedrooms · 5 beds · 1 bath,1419619,GetawaysMalta,San Pawl il-Bahar,35.94614,14.39057,Entire home/apt,194,3,3,40,183,2
29988915,Home in Il-Birgu · ★4.89 · 3 bedrooms · 3 beds · 3 baths,27315529,Sara,Birgu,35.88681,14.52285,Entire home/apt,145,3,54,2,321,9
30003490,Villa in Is-Swieqi · ★4.76 · 11 bedrooms · 36 beds · 11.5 baths,225537747,Patricia,Swieqi,35.922,14.4813,Entire home/apt,782,2,37,2,209,10
30065787,Home in L-Għarb · ★5.0 · 2 bedrooms · 6 beds · 3.5 baths,225939868,Justinlee,Gharb,36.06332,14.19937,Entire home/apt,187,4,4,1,333,2
30075816,Rental unit in Saint Paul's Bay · ★5.0 · 2 bedrooms · 3 beds · 1.5 baths,145751348,Mikasa,San Pawl il-Bahar,35.94772,14.41898,Entire home/apt,100,3,7,2,0,0
30084957,Rental unit in Sliema · ★4.81 · 1 bedroom · 2 beds · 2 baths,157640139,Claire,Sliema,35.91264,14.50428,Entire home/apt,45,4,32,5,332,0
30095983,Home in Ħaż-Żabbar · ★4.88 · 2 bedrooms · 1 bed · 2.5 baths,13595271,Jesabel,Zabbar,35.86852,14.54748,Entire home/apt,126,2,16,15,327,12
30114501,Rental unit in Wied il-Għajn · ★4.89 · 3 bedrooms · 4 beds · 2 baths,219067039,Florence,Marsascala,35.85898,14.56224,Entire home/apt,67,3,35,4,257,6
30128288,Condo in Ħal Tarxien · ★4.92 · 2 bedrooms · 4 beds · 1 bath,101476013,Jonathan,Tarxien,35.86684372879494,14.509589468319874,Entire home/apt,42,1,144,1,252,29
30144852,Rental unit in Xgħajra · ★4.33 · 1 bedroom · 1 bed · 1 bath,187492189,Ruben,Xghajra,35.88899,14.54756,Entire home/apt,150,3,3,1,363,0
30149430,Rental unit in L-Imsida · ★4.84 · 1 bedroom · 1 bed · 1 bath,102967870,Johan,Msida,35.90031,14.48699,Entire home/apt,67,2,25,1,182,20
30198183,Rental unit in Għajnsielem · ★4.95 · 1 bedroom · 1 bed · 1 bath,226825111,Marthese,Ghajnsielem,36.02755,14.296337,Entire home/apt,55,3,76,3,152,22
30228534,Rental unit in Marsalforn  · ★4.71 · 1 bedroom · 1 bed · 1 bath,197746352,Manuel,Zebbug (Ghawdex),36.071,14.26108,Entire home/apt,29,5,69,1,305,18
30263757,Condo in L-Isla · ★4.58 · Studio · 1 bed · 1 bath,205667250,Philip,Isla,35.88823999767109,14.515324019319191,Entire home/apt,50,3,86,2,54,12
30268632,Home in Marsaxlokk · 2 bedrooms · 4 beds · 1 bath,227330399,Ritienne,Marsaxlokk,35.83867263797499,14.544016520320202,Entire home/apt,90,2,0,1,308,0
30289483,Rental unit in Iż-Żebbuġ · ★4.83 · 2 bedrooms · 3 beds · 1 bath,227491380,Christian,Zebbug (Ghawdex),36.0782,14.25197,Entire home/apt,86,3,90,1,305,6
30303836,Guest suite in Swieqi · ★4.53 · 1 bedroom · 2 beds · 1 private bath,227593185,Josianne,Swieqi,35.92071,14.48037,Private room,55,3,17,1,267,9
30311475,Rental unit in Mosta · ★4.51 · 3 bedrooms · 3 beds · 2 baths,17363682,Andre,Mosta,35.91581,14.41812,Entire home/apt,100,2,92,6,340,11
30312274,Rental unit in San Pawl il-Baħar · ★4.27 · 2 bedrooms · 3 beds · 1 bath,223318517,Evgueni,San Pawl il-Bahar,35.95252,14.41116,Entire home/apt,65,1,79,12,143,13
30337705,Boutique hotel in Marsaxlokk · ★4.85 · 1 bedroom · 1 bed · 1 private bath,20618996,Gabriele,Marsaxlokk,35.84076,14.54398,Private room,145,1,13,5,323,6
30355818,Boutique hotel in Marsaxlokk · ★4.89 · 1 bedroom · 1 bed · 1 private bath,20618996,Gabriele,Marsaxlokk,35.84076,14.54398,Private room,115,1,80,5,341,18
30358700,Rental unit in Tas-Sliema · ★4.62 · 4 bedrooms · 8 beds · 2.5 baths,59871645,Jeffrey,Gzira,35.90925,14.49655,Entire home/apt,104,3,94,16,64,23
30359005,Rental unit in Tas-Sliema · ★4.53 · 4 bedrooms · 8 beds · 2.5 baths,59871645,Jeffrey,Gzira,35.90932,14.49698,Entire home/apt,109,3,85,16,56,21
30359136,Rental unit in Tas-Sliema · ★4.34 · 4 bedrooms · 10 beds · 2.5 baths,59871645,Jeffrey,Sliema,35.91107,14.49846,Entire home/apt,150,3,70,16,50,25
30378236,Rental unit in Valletta · ★4.74 · 2 bedrooms · 2 beds · 1 bath,228034044,Jürgen Und Margit,Valletta,35.90014,14.51562,Entire home/apt,175,2,35,1,243,15
30431550,Rental unit in Sliema · ★4.54 · 1 bedroom · 2 beds · 1 bath,2442805,Aaron,Sliema,35.9095,14.5105,Entire home/apt,113,1,35,119,55,4
30491902,Rental unit in Sliema · ★4.73 · 2 bedrooms · 3 beds · 1.5 baths,228847919,Lisa,Sliema,35.91353,14.49578,Entire home/apt,80,4,70,1,139,25
30493186,Rental unit in San Pawl il-Baħar · 2 bedrooms · 4 beds · 1 bath,1419619,GetawaysMalta,San Pawl il-Bahar,35.94538,14.38704,Entire home/apt,424,3,1,40,32,1
30494304,Rental unit in San Pawl il-Baħar · ★5.0 · 2 bedrooms · 4 beds · 1 bath,1419619,GetawaysMalta,San Pawl il-Bahar,35.94538,14.38704,Entire home/apt,254,3,4,40,151,1
30502574,Rental unit in Ix-Xgħajra · ★4.83 · 2 bedrooms · 2 beds · 1 bath,228915595,Liam,Xghajra,35.88717,14.54947,Entire home/apt,160,3,152,2,35,25
30504489,Rental unit in Saint Julian's · ★4.74 · 1 bedroom · 1 bed · 1 bath,123724814,Maria,San Giljan,35.92324,14.49205,Entire home/apt,137,3,118,6,159,35
30517861,Townhouse in L-Isla · ★4.87 · 5 bedrooms · 6 beds · 2 baths,228928305,Joseph,Isla,35.88826,14.51771,Entire home/apt,210,3,82,1,187,15
30524691,Rental unit in Ix-Xagħra · ★4.88 · 2 bedrooms · 3 beds · 2 baths,48319538,Julian,Xaghra,36.05323,14.27429,Entire home/apt,65,4,50,4,125,13
30556998,Rental unit in Marsalforn · ★4.97 · 2 bedrooms · 3 beds · 2 baths,197890370,Marc,Zebbug (Ghawdex),36.07284,14.25482,Entire home/apt,100,3,30,1,34,7
30558562,Rental unit in Ix-Xgħajra · ★4.80 · 2 bedrooms · 2 beds · 1.5 baths,228915595,Liam,Xghajra,35.88717,14.55153,Entire home/apt,254,3,140,2,40,17
30581911,Rental unit in Pembroke · ★4.0 · 3 bedrooms · 2 beds · 1 shared bath,229378810,Marcello,Pembroke,35.92488,14.47918,Private room,43,3,12,27,75,0
30637058,Rental unit in Il-Mellieħa · ★4.92 · 2 bedrooms · 2 beds · 2 baths,226825111,Marthese,Mellieha,35.96029,14.36268,Entire home/apt,90,3,78,3,132,24
30697446,Rental unit in L-Imgarr · ★4.58 · 3 bedrooms · 6 beds · 2 baths,28524621,Malcolm,Mgarr,35.92209,14.36685,Entire home/apt,62,3,120,2,337,25
30699662,Rental unit in Sliema · ★4.92 · 2 bedrooms · 2 beds · 2 baths,2442805,Aaron,Sliema,35.90697,14.51069,Entire home/apt,258,1,13,119,5,6
30727260,Bed and breakfast in Nadur · 1 bedroom · 1 bed · 1 shared bath,229785992,Natasha,Nadur,36.03919,14.28998,Private room,125,1,2,2,167,0
30728509,Bed and breakfast in Nadur · ★4.38 · 1 bedroom · 1 bed · 1 private bath,229785992,Natasha,Nadur,36.03919,14.28998,Private room,115,2,8,2,167,0
30808544,Rental unit in Ix-Xagħra · ★4.68 · 3 bedrooms · 3 beds · 2.5 baths,8007862,Christian,Xaghra,36.05994,14.26601,Entire home/apt,161,3,74,1,352,13
30837750,Rental unit in Msida · ★4.73 · 1 bedroom · 1 bed · 1 shared bath,465680303,Jessica,Msida,35.90024,14.4872,Private room,65,1,15,26,346,6
30849570,Rental unit in Saint Julian's · ★4.65 · 2 bedrooms · 4 beds · 2 baths,17208391,Paola,San Giljan,35.91347,14.49244,Entire home/apt,137,1,40,69,328,14
30904605,"Rental unit in Rabat Malta, · 2 bedrooms · 2 beds · 1 private bath",20900596,Manuel And Mariosa,Rabat (Malta),35.87972,14.39687,Private room,58,1,1,9,336,1
30905087,"Bed and breakfast in Rabat Malta, · 1 bedroom · 1 bed · 1 private bath",20900596,Manuel And Mariosa,Rabat (Malta),35.88022,14.39755,Private room,58,1,2,9,336,1
30906089,"Bed and breakfast in Rabat Malta, · 1 bedroom · 1 bed · 1 private bath",20900596,Manuel And Mariosa,Rabat (Malta),35.87945,14.39738,Private room,46,1,0,9,300,0
30916704,Rental unit in Marsaskala · 3 bedrooms · 4 beds · 2.5 baths,220358765,Josie,Marsascala,35.85871,14.56879,Entire home/apt,120,1,0,1,351,0
30925106,Rental unit in  St Paul Street Valletta · ★4.83 · 2 bedrooms · 2 beds · 2 baths,83595067,Natasha,Valletta,35.89547,14.51349,Entire home/apt,212,2,42,1,338,20
30928512,Home in Il-Mellieħa · ★5.0 · 1 bedroom · 2 beds · 1 shared bath,85595801,Albert,Mellieha,35.95467,14.36593,Private room,18,1,10,2,62,0
30946121,Rental unit in Xlendi · ★4.95 · 1 bedroom · 2 beds · 2 baths,25726897,Simon,Munxar,36.0281,14.21727,Entire home/apt,85,3,37,6,292,12
30982150,Townhouse in Valletta · ★4.73 · 1 bedroom · 2 beds · 1 private bath,80420351,Daniel,Valletta,35.89787,14.51464,Private room,85,2,132,4,317,42
31011241,"Rental unit in Bugibba, Malta · 2 bedrooms · 2 beds · 2 baths",231605146,Paola,San Pawl il-Bahar,35.95065,14.41385,Entire home/apt,20,2,2,1,0,0
31012523,Rental unit in L-Imtarfa · ★4.89 · 1 bedroom · 2 beds · 1 shared bath,172645154,Sandra,Mtarfa,35.88951500596248,14.392215304765072,Private room,38,1,139,2,317,49
31065824,Rental unit in Ir-Rabat Għawdex · ★4.48 · 3 bedrooms · 5 beds · 2 baths,167920679,Stefan,Rabat (Victoria),36.04205,14.24505,Entire home/apt,80,5,31,23,313,4
31101325,Rental unit in Msida · ★4.52 · 3 bedrooms · 4 beds · 1 bath,108576055,David,Msida,35.90086,14.49055,Entire home/apt,58,4,31,1,0,10
31117997,Rental unit in Valletta · ★4.79 · Studio · 2 beds · 1 bath,59113983,Martina,Valletta,35.89965,14.51679,Entire home/apt,95,2,150,1,121,46
31139084,Villa in Mellieha · ★4.79 · 4 bedrooms · 9 beds · 5 baths,1774894,ShortLets,Mellieha,35.95999,14.3686,Entire home/apt,810,4,14,61,339,1
31146596,Rental unit in Il-Belt Valletta · ★4.89 · 1 bedroom · 2 beds · 1 bath,102217613,Valletta Property Rentals,Valletta,35.89765,14.51579,Entire home/apt,148,4,46,10,313,16
31146815,Rental unit in Il-Belt Valletta · ★4.80 · 1 bedroom · 3 beds · 1 bath,102217613,Valletta Property Rentals,Valletta,35.89633,14.51525,Entire home/apt,214,4,49,10,304,7
31160119,Townhouse in Il-Birgu · ★4.88 · 1 bedroom · 2 beds · 1 bath,232904380,Jean-Marc,Birgu,35.89014,14.52039,Entire home/apt,145,3,52,2,329,2
31220800,Rental unit in Ghajnsielem · ★5.0 · 2 bedrooms · 3 beds · 1 bath,233510572,Daphne,Ghajnsielem,36.02280499396292,14.292557813473104,Entire home/apt,180,4,5,1,268,0
31246059,Townhouse in Il-Birgu · ★4.72 · 1 bedroom · 2 beds · 1 bath,232904380,Jean-Marc,Birgu,35.88782,14.52357,Entire home/apt,118,3,100,2,336,13
31250432,Home in Il-Kalkara · ★4.88 · 1 bedroom · 1 bed · 2 baths,106819146,Alberto,Kalkara,35.88772,14.52727,Entire home/apt,125,3,57,3,326,18
31275315,Rental unit in Iż-Żebbuġ · ★4.75 · 3 bedrooms · 3 beds · 2 baths,234034621,Denise,Zebbug (Ghawdex),36.07119,14.26023,Entire home/apt,100,3,77,1,327,14
31278920,Rental unit in San Pawl il-Baħar · ★4.90 · 2 bedrooms · 4 beds · 1.5 baths,45354863,Clayton,San Pawl il-Bahar,35.95189,14.4239,Entire home/apt,80,4,67,1,306,20
31293066,Villa in Victoria · ★4.40 · 4 bedrooms · 6 beds · 4 baths,534091,Michael,Rabat (Victoria),36.0496657486019,14.240348494281251,Entire home/apt,180,5,15,7,346,7
31295046,Villa in Ir-Rabat Għawdex · ★4.57 · 4 bedrooms · 7 beds · 3 baths,534091,Michael,Rabat (Victoria),36.04896,14.24014,Entire home/apt,212,5,7,7,351,3
31304093,Bed and breakfast in L-Għasri · 3 bedrooms · 3 beds · 1 private bath,234085674,Salvo,Ghasri,36.06406,14.21541,Private room,35,1,1,1,0,0
31313051,Home in San Lawrenz · ★5.0 · 4 bedrooms · 5 beds · 4.5 shared baths,23277004,Jayne,Kercem,36.05238,14.20952,Private room,42,2,10,4,321,0
31323196,Rental unit in Ghajnsielem · ★4.70 · 2 bedrooms · 4 beds · 2 baths,14973243,Kevin,Ghajnsielem,36.02099,14.29165,Entire home/apt,198,7,27,20,322,0
31351298,Rental unit in Pretty Bay · ★4.54 · 2 bedrooms · 4 beds · 2 baths,232099724,Joseph,Birzebbugia,35.82701,14.52757,Entire home/apt,46,1,35,1,167,7
31370504,Rental unit in Tas-Sliema · ★5.0 · 1 bedroom · 1 bed · 1 bath,2474524,Simon,Sliema,35.91232,14.49571,Entire home/apt,67,3,7,12,111,0
31383314,"Rental unit in St Lawrence, Gozo · ★4.62 · 1 bedroom · 2 beds · 1.5 baths",168384614,Francesca,San Lawrenz,36.0543,14.20406,Entire home/apt,60,1,71,6,170,14
31395377,Rental unit in Il-Furjana · ★4.77 · Studio · 1 bed · 1 bath,124857743,Jean Matthias,Floriana,35.89114,14.50783,Entire home/apt,80,3,15,7,39,10
31428154,Rental unit in Il-Mellieħa · ★4.86 · 2 bedrooms · 3 beds · 2 baths,235410917,Sonke,Mellieha,35.9669,14.36478,Entire home/apt,140,4,15,1,313,4
31438713,Rental unit in Malta · ★4.88 · 2 bedrooms · 4 beds · 1 bath,96290703,Ian,Zebbug (Ghawdex),36.07115,14.25435,Entire home/apt,85,2,85,1,159,19
31442687,Townhouse in Senglea (Isla) · ★4.76 · 1 bedroom · 1 bed · 1 bath,2097933,Nadine,Isla,35.88711,14.51797,Entire home/apt,65,2,114,4,315,42
31487476,Rental unit in L-Imsida · ★4.74 · 2 bedrooms · 3 beds · 2 baths,12785822,Franny,Msida,35.89565,14.48802,Entire home/apt,80,3,47,3,157,9
31504519,Hostel in Sliema · ★4.75 · 1 bedroom · 1 bed · 4 shared baths,61805531,Granny'S Inn,Sliema,35.913071,14.499662,Hotel room,38,1,16,6,196,5
31504876,Townhouse in Bormla · ★4.88 · 1 bedroom · 2 beds · 1.5 baths,19816539,Chris,Bormla,35.8802,14.52051,Entire home/apt,110,5,17,5,365,3
31531216,Home in Il-Mellieħa · ★4.75 · 4 bedrooms · 7 beds · 3.5 baths,18148254,Karen,Mellieha,35.96074,14.36865,Entire home/apt,447,4,9,4,208,1
31550463,Guest suite in Il-Mellieħa · ★4.75 · 1 bedroom · 2 beds · 2 baths,236474857,Shirley,Mellieha,35.95775,14.37076,Entire home/apt,100,3,24,1,29,0
31553034,Rental unit in Valletta · ★4.72 · 1 bedroom · 1 bed · 1 bath,59871645,Jeffrey,Valletta,35.90121,14.51708,Entire home/apt,96,3,141,16,45,33
31558796,Rental unit in Qala · ★5.0 · 3 bedrooms · 8 beds · 2 baths,132682654,Nick,Qala,36.03945,14.3088,Entire home/apt,155,5,4,6,363,0
31573230,Place to stay in Ix-Xagħra · ★4.95 · 2 bedrooms · 3 beds · 2 baths,48647692,Tania (Antonella),Xaghra,36.054778146668944,14.260392660636576,Entire home/apt,100,3,22,1,162,4
31580881,Home in Ħal Għaxaq · ★4.18 · 3 bedrooms · 4 beds · 2.5 baths,78056115,Cert,Ghaxaq,35.84912,14.52051,Entire home/apt,100,3,11,1,365,2
31620807,Rental unit in Sliema · ★4.87 · 1 bedroom · 1 bed · 1 bath,24813206,James,Sliema,35.9103,14.5039,Entire home/apt,72,3,142,3,281,35
31635910,Rental unit in Il-Mellieħa · ★4.78 · 2 bedrooms · 4 beds · 1 bath,187273830,Alessandra,Mellieha,35.96673,14.36131,Entire home/apt,75,2,32,1,165,4
31636182,Rental unit in L-Għarb · ★5.0 · 3 bedrooms · 4 beds · 2 baths,218078729,Giorgia & Luca,Gharb,36.05588,14.21175,Entire home/apt,100,3,7,4,92,1
31637428,Rental unit in L-Għarb · ★5.0 · 3 bedrooms · 4 beds · 2 baths,218078729,Giorgia & Luca,Gharb,36.05807,14.21112,Entire home/apt,110,3,4,4,3,0
31668492,Rental unit in Pembroke · ★4.36 · 3 bedrooms · 2 beds · 1 shared bath,229378810,Marcello,Pembroke,35.92644,14.47863,Private room,43,3,11,27,152,1
31671341,Condo in St. Paul's Bay · ★4.88 · 1 bedroom · 2 beds · 1 bath,206957612,RM Apartments,San Pawl il-Bahar,35.9472598,14.4161578,Entire home/apt,105,3,17,1,63,8
31682811,Condo in Il-Mellieħa · ★4.93 · 2 bedrooms · 3 beds · 3 baths,237574473,Nilda,Mellieha,35.96595,14.36034,Entire home/apt,110,2,16,1,330,2
31691670,Rental unit in Sliema · ★4.90 · 1 bedroom · 1 bed · 1 bath,24813206,James,Sliema,35.90972,14.50283,Entire home/apt,65,2,223,3,281,70
31699956,Townhouse in Valletta · ★4.87 · 1 bedroom · 1 bed · 1 shared bath,66420019,Paul,Valletta,35.89805,14.5177,Private room,27,2,159,2,282,40
